datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,bitmex-{}-fill,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-05-02 04:14:00,111234705.22803114,111234705.22803114,579421579532.8142,5209.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579421579532.8142,0.0,1.0,0.0
2019-05-02 04:15:00,111234705.22803114,111234705.22803114,579421579532.8142,5209.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579421579532.8142,0.0,1.0,0.0
2019-05-02 04:16:00,111234705.22803114,111234705.22803114,579199110122.3582,5207.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579199110122.3582,0.0,1.0,0.0
2019-05-02 04:17:00,111234705.22803114,111234705.22803114,579199110122.3582,5207.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579199110122.3582,0.0,1.0,0.0
2019-05-02 04:18:00,111234705.22803114,111234705.22803114,579143492769.7441,5206.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579143492769.7441,0.0,1.0,0.0
2019-05-02 04:19:00,111234705.22803114,111234705.22803114,578809788654.06,5203.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,578809788654.06,0.0,1.0,0.0
2019-05-02 04:20:00,111234705.22803114,111234705.22803114,578865406006.6741,5204.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,578865406006.6741,0.0,1.0,0.0
2019-05-02 04:21:00,111234705.22803114,111234705.22803114,578865406006.6741,5204.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,578865406006.6741,0.0,1.0,0.0
2019-05-02 04:22:00,111234705.22803114,111234705.22803114,579810901001.1123,5212.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579810901001.1123,0.0,1.0,0.0
2019-05-02 04:23:00,111234705.22803114,111234705.22803114,579866518353.7263,5213.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,579866518353.7263,0.0,1.0,0.0
2019-05-02 04:24:00,111234705.22803114,111234705.22803114,580033370411.5684,5214.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580033370411.5684,0.0,1.0,0.0
2019-05-02 04:25:00,111234705.22803114,111234705.22803114,580033370411.5684,5214.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580033370411.5684,0.0,1.0,0.0
2019-05-02 04:26:00,111234705.22803114,111234705.22803114,580033370411.5684,5214.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580033370411.5684,0.0,1.0,0.0
2019-05-02 04:27:00,111234705.22803114,111234705.22803114,580033370411.5684,5214.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580033370411.5684,0.0,1.0,0.0
2019-05-02 04:28:00,111234705.22803114,111234705.22803114,580088987764.1824,5215.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580088987764.1824,0.0,1.0,0.0
2019-05-02 04:29:00,111234705.22803114,111234705.22803114,580088987764.1824,5215.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580088987764.1824,0.0,1.0,0.0
2019-05-02 04:30:00,111234705.22803114,111234705.22803114,580033370411.5684,5214.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580033370411.5684,0.0,1.0,0.0
2019-05-02 04:31:00,111234705.22803114,111234705.22803114,580033370411.5684,5214.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580033370411.5684,0.0,1.0,0.0
2019-05-02 04:32:00,111234705.22803114,111234705.22803114,580088987764.1824,5215.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580088987764.1824,0.0,1.0,0.0
2019-05-02 04:33:00,111234705.22803114,111234705.22803114,580088987764.1824,5215.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580088987764.1824,0.0,1.0,0.0
2019-05-02 04:34:00,111234705.22803114,111234705.22803114,580088987764.1824,5215.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580088987764.1824,0.0,1.0,0.0
2019-05-02 04:35:00,111234705.22803114,111234705.22803114,580033370411.5684,5214.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580033370411.5684,0.0,1.0,0.0
2019-05-02 04:36:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:37:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:38:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:39:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:40:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:41:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:42:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:43:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:44:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:45:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:46:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:47:00,111234705.22803114,111234705.22803114,580144605116.7964,5215.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580144605116.7964,0.0,1.0,0.0
2019-05-02 04:48:00,111234705.22803114,111234705.22803114,580422691879.8665,5218.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580422691879.8665,0.0,1.0,0.0
2019-05-02 04:49:00,111234705.22803114,111234705.22803114,580812013348.1647,5221.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580812013348.1647,0.0,1.0,0.0
2019-05-02 04:50:00,111234705.22803114,111234705.22803114,580812013348.1647,5221.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580812013348.1647,0.0,1.0,0.0
2019-05-02 04:51:00,111234705.22803114,111234705.22803114,580867630700.7787,5222.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580867630700.7787,0.0,1.0,0.0
2019-05-02 04:52:00,111234705.22803114,111234705.22803114,580867630700.7787,5222.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580867630700.7787,0.0,1.0,0.0
2019-05-02 04:53:00,111234705.22803114,111234705.22803114,580867630700.7787,5222.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580867630700.7787,0.0,1.0,0.0
2019-05-02 04:54:00,111234705.22803114,111234705.22803114,580978865406.0067,5223.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580978865406.0067,0.0,1.0,0.0
2019-05-02 04:55:00,111234705.22803114,111234705.22803114,580978865406.0067,5223.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580978865406.0067,0.0,1.0,0.0
2019-05-02 04:56:00,111234705.22803114,111234705.22803114,580978865406.0067,5223.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580978865406.0067,0.0,1.0,0.0
2019-05-02 04:57:00,111234705.22803114,111234705.22803114,580923248053.3927,5222.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580923248053.3927,0.0,1.0,0.0
2019-05-02 04:58:00,111234705.22803114,111234705.22803114,580756395995.5507,5221.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580756395995.5507,0.0,1.0,0.0
2019-05-02 04:59:00,111234705.22803114,111234705.22803114,580700778642.9366,5220.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580700778642.9366,0.0,1.0,0.0
2019-05-02 05:00:00,111234705.22803114,111234705.22803114,580700778642.9366,5220.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580700778642.9366,0.0,1.0,0.0
2019-05-02 05:01:00,111234705.22803114,111234705.22803114,580700778642.9366,5220.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580700778642.9366,0.0,1.0,0.0
2019-05-02 05:02:00,111234705.22803114,111234705.22803114,580422691879.8665,5218.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580422691879.8665,0.0,1.0,0.0
2019-05-02 05:03:00,111234705.22803114,111234705.22803114,580422691879.8665,5218.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580422691879.8665,0.0,1.0,0.0
2019-05-02 05:04:00,111234705.22803114,111234705.22803114,580422691879.8665,5218.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580422691879.8665,0.0,1.0,0.0
2019-05-02 05:05:00,111234705.22803114,111234705.22803114,580422691879.8665,5218.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580422691879.8665,0.0,1.0,0.0
2019-05-02 05:06:00,111234705.22803114,111234705.22803114,580422691879.8665,5218.0,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580422691879.8665,0.0,1.0,0.0
2019-05-02 05:07:00,111234705.22803114,111234705.22803114,580700778642.9366,5220.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580700778642.9366,0.0,1.0,0.0
2019-05-02 05:08:00,111234705.22803114,111234705.22803114,580700778642.9366,5220.5,1,0,0,0,0.0008990000000000001,0.0,0.0,0,0.0,111234705.22803114,580700778642.9366,0.0,1.0,0.0
