datetime,bitmex-XRP/BTC-position-in-USD,bitmex-EOS/BTC-position-in-USD,cash
2019-05-02 14:00:00-04:00,-806.6956407250001,0.0,0.7961165449963711
2019-05-02 14:05:00-04:00,-805.7485403999999,0.0,0.7961165449963711
2019-05-02 14:10:00-04:00,-804.294537525,0.0,0.7961165449963711
2019-05-02 14:15:00-04:00,-804.294537525,0.0,0.7961165449963711
2019-05-02 14:20:00-04:00,-803.86250823,0.0,0.7961165449963711
2019-05-02 14:25:00-04:00,-803.7754225599999,-807.8575637000001,0.6451820289463711
2019-05-02 14:30:00-04:00,-802.18710999,-806.3423518499999,0.6451820289463711
2019-05-02 14:35:00-04:00,-800.78774726,-806.0667369,0.6451820289463711
2019-05-02 14:40:00-04:00,-801.8439800900001,-807.0895475000001,0.6451820289463711
2019-05-02 14:45:00-04:00,-802.4873016299999,-806.8290873499999,0.6451820289463711
2019-05-02 14:50:00-04:00,-802.2938645,-806.3391599999999,0.6451820289463711
2019-05-02 14:55:00-04:00,-801.99394156,-806.2227656,0.6451820289463711
2019-05-02 15:00:00-04:00,-802.7810847750001,-806.3324130000001,0.6451820289463711
2019-05-02 15:05:00-04:00,-802.55590074,-807.1235766,0.6451820289463711
2019-05-02 15:10:00-04:00,-801.8312974500001,-806.9725995,0.6451820289463711
2019-05-02 15:15:00-04:00,-801.9252080999998,-807.5935484,0.6451820289463711
2019-05-02 15:20:00-04:00,-803.60675957,-809.2916990999998,0.6451820289463711
2019-05-02 15:25:00-04:00,-803.38787655,-809.1235085000001,0.6451820289463711
2019-05-02 15:30:00-04:00,-802.9686911150001,-809.611109,0.6451820289463711
2019-05-02 15:35:00-04:00,-803.1186525850001,-809.3917104000001,0.6451820289463711
2019-05-02 15:40:00-04:00,-803.8743578999998,-810.1129993,0.6451820289463711
2019-05-02 15:45:00-04:00,-803.4421673850001,-809.7419835000002,0.6451820289463711
2019-05-02 15:50:00-04:00,-802.31224358,-808.6434508000001,0.6451820289463711
2019-05-02 15:55:00-04:00,-802.2250772999998,-808.0806645000001,0.6451820289463711
2019-05-02 16:00:00-04:00,-802.81258985,-808.3827225000001,0.6451820289463711
2019-05-02 16:05:00-04:00,-802.68694573,-808.55785905,0.6451820289463711
2019-05-02 16:10:00-04:00,-803.4245540999999,-809.2888965000001,0.6451820289463711
2019-05-02 16:15:00-04:00,-803.33754904,-809.0039828,0.6451820289463711
2019-05-02 16:20:00-04:00,-803.568536995,-809.4743006000001,0.6451820289463711
2019-05-02 16:25:00-04:00,-803.730294395,-810.02024535,0.6451820289463711
2019-05-02 16:30:00-04:00,-803.447931,-809.8930125000002,0.6451820289463711
2019-05-02 16:35:00-04:00,-803.2923133950001,-809.86916445,0.6451820289463711
2019-05-02 16:40:00-04:00,-803.1424594050001,-809.6253642000001,0.6451820289463711
2019-05-02 16:45:00-04:00,-803.4245540999999,-809.56700265,0.6451820289463711
2019-05-02 16:50:00-04:00,-804.50134248,-809.4914622,0.6451820289463711
2019-05-02 16:55:00-04:00,-804.88883475,-810.44964,0.6451820289463711
2019-05-02 17:00:00-04:00,-803.9375024,-809.7936239999999,0.6451820289463711
