datetime,bitmex-BTC-available-balance,bitmex-BTC-balance,bitmex-BTC-balance-in-USD,bitmex-BTC-price,bitmex-EOS/BTC-fill,bitmex-EOS/BTC-leverage,bitmex-EOS/BTC-position,bitmex-EOS/BTC-position-in-BTC,bitmex-EOS/BTC-position-in-USD,bitmex-EOS/BTC-price,bitmex-total-position-in-BTC,bitmex-total-position-in-USD,fee,total,total-in-USD,returns,equity_curve,drawdown
2019-01-03 08:48:00,1.3611588220743958,1.3611588220743964,5298.991294335625,3893.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5298.991294335625,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:49:00,1.3611588220743958,1.3611588220743964,5299.671873746663,3893.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5299.671873746663,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:50:00,1.3611588220743958,1.3611588220743964,5304.435929623923,3897.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5304.435929623923,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:51:00,1.3611588220743958,1.3611588220743964,5305.797088445997,3898.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5305.797088445997,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:52:00,1.3611588220743958,1.3611588220743964,5305.1165090349605,3897.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5305.1165090349605,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:53:00,1.3611588220743958,1.3611588220743964,5300.3524531576995,3894.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5300.3524531576995,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:54:00,1.3611588220743958,1.3611588220743964,5296.268976691476,3891.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5296.268976691476,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:55:00,1.3611588220743958,1.3611588220743964,5288.782603170067,3885.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5288.782603170067,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:56:00,1.3611588220743958,1.3611588220743964,5285.379706114882,3883.0,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5285.379706114882,0.0,1.0026295883399996,0.00010982706000017828
2019-01-03 08:57:00,1.3611588220743958,1.3611588220743964,5284.699126703844,3882.5,,1,0,0.0,0.0,0.0007352999999999999,0.0,0.0,169.00000000000017,1.3611588220743964,5284.699126703844,0.0,1.0026295883399996,0.00010982706000017828
