datetime,bitmex-BTC/USD-fill,bitmex-BTC/USD-price,bitmex-ETH/USD-fill,bitmex-ETH/USD-price,cash,commission,total,bitmex-BTC/USD,bitmex-ETH/USD,returns,equity_curve,drawdown
2019-03-28 12:48:00,,4003.0,,140.71,107309.95006379789,1825.5435839183892,107314.1931909958,107317.35129942703,-107313.10817222913,0.0,1.0731419319099602,0.00010554890453562393
2019-03-28 12:49:00,,4004.5,,140.7,107309.95006379789,1825.5435839183892,107362.03358188478,107357.56514577955,-107305.48162769267,0.0004457974240541507,1.07362033581885,0.0
2019-03-28 12:50:00,SELL,4005.0,BUY,140.7,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,-6.893717809020039e-05,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:51:00,,4005.5,,140.7,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:52:00,,4006.0,,140.7,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:53:00,,4006.0,,140.70416215,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:54:00,,4006.0,,140.7,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:55:00,,4003.5,,140.7,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:56:00,,4004.0,,140.7,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:57:00,,4003.5,,140.7,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:58:00,,4002.5,,140.65,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 12:59:00,,4003.0,,140.64,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 13:00:00,,4002.5,,140.5,107354.63234625562,1832.9448195475402,107354.63234625562,0.0,0.0,0.0,1.0735463234625584,7.401235629167502e-05
2019-03-28 13:01:00,SELL,4001.5,BUY,140.41,107347.21962697613,1840.3575388270422,107305.2734294843,-107327.81045185306,107285.86425436122,-0.0004597744474791332,1.073052734294845,0.0005676015240050347
2019-03-28 13:02:00,,4001.0,,140.36,107347.21962697613,1840.3575388270422,107280.47988118869,-107314.39950465178,107247.65975886433,-0.00023105619605823247,1.072804798811889,0.0008155370069611312
2019-03-28 13:03:00,,4001.0,,140.38,107347.21962697613,1840.3575388270422,107295.76167938743,-107314.39950465178,107262.94155706308,0.00014244714616928889,1.0729576167938764,0.0006627190249737236
2019-03-28 13:04:00,,4000.5,,140.38,107347.21962697613,1840.3575388270422,107309.17262658871,-107300.9885574505,107262.94155706308,0.00012499046552605364,1.0730917262658892,0.000528609552960857
2019-03-28 13:05:00,,3998.0,,140.32,107347.21962697613,1840.3575388270422,107330.38196799885,-107233.9338214441,107217.09616246681,0.0001976470500237859,1.0733038196799907,0.0003165161388594129
